index,Age Group,Gender,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Expected_salary,Age,Financially constrained,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice
65,18 - 20,m,maulana azad college,b com.,economics,85.0,bengali,85.0,75.0,english,75.0,5.0,no,watchman,others,15.0,19.0,no,below 3 lakhs,Unknown,1.0,1,1,1,1,1,1
66,20 - 22,f,st pauls cathedral mission college,b.sc / bs,economics,85.0,maths,85.0,85.0,economics,92.0,8.0,swimming,researcher,undecided,10.0,0.0,maybe,3 -  7  lakhs,Government Job,1.0,5,3,4,3,4,4
67,20 - 22,f,presidency university,b.sc / bs,economics,95.0,hindi,98.0,95.0,mathematics,96.0,7.0,badminton ,researcher,undecided,9.0,24.0,no,7 - 10 lakhs,Government Job,5.0,4,2,2,3,4,4
68,18 - 20,m,maulana azad college,b.sc / bs,economics,95.0,economics,98.0,95.0,economics,96.0,8.0,football ,undecided,undecided,,26.0,no,10 - 12 lakhs,Government Job,2.0,3,5,4,2,1,2
69,20 - 22,f,iiest shibpur,b tech.,electrical engineering,95.0,mathematics,100.0,95.0,maths,100.0,8.0,,entrepreneurship,corporate/private sector,20.0,28.0,yes,15 lakhs above,Business,15.0,5,2,5,5,3,1
70,18 - 20,m,institute of engineering and management,b tech.,electronics and communication,95.0,mathematics,94.0,95.0,mathematics,100.0,9.0,,researcher,it secrtor,6.0,24.0,maybe,3 -  7  lakhs,Government Job,10.0,4,4,3,2,3,3
72,20 - 22,m,swami vivekanand institute of science and technology,b tech.,electronics and communication,95.0,biology,92.0,85.0,biology,91.0,7.0,singing ,web developer,it secrtor,4.0,26.0,yes,below 3 lakhs,Business,4.0,4,3,2,4,5,2
74,18 - 20,m,jadavpur university,b tech.,,95.0,biology,97.0,85.0,bio,97.0,6.0,"music,acting",engineeringmodel,corporate/private sector,10.0,26.0,no,10 - 12 lakhs,Homemaker,,3,4,2,3,3,3
75,20 - 22,f,sister nivedita university,ma,english,55.0,english,82.0,65.0,english,72.0,8.0,no,professor,academia/education,3.5,28.5,maybe,below 3 lakhs,Business,,1,1,1,5,1,5
76,20 - 22,f,sister nivedita university,ba,english,85.0,science,80.0,75.0,english,80.0,8.0,no,professor,corporate/private sector,3.5,25.0,yes,3 -  7  lakhs,Other,2.0,5,1,2,5,2,3
77,20 - 22,m,university of calcutta,ma,english,85.0,geography,91.0,95.0,biology,96.0,7.0,"martial arts- karate, french language ",undecided,corporate/private sector,0.23,32.5,no,3 -  7  lakhs,Retired,10.0,3,1,5,1,1,5
78,20 - 22,m,sister nivedita university,ba,english,95.0,mathematics,96.0,75.0,english,82.0,7.0,"music, dance, acting ",actor,corporate/private sector,5.5,25.0,no,7 - 10 lakhs,Business,4.5,4,5,4,4,1,4
80,20 - 22,f,sister nivedita university,ba,english,55.0,english,57.0,65.0,english,64.0,4.0,no,entrepreneurship,corporate/private sector,0.5,25.0,maybe,7 - 10 lakhs,Business,3.0,3,3,3,3,3,3
81,20 - 22,f,gokhale memorial girls college,ba,english,95.0,english,98.0,95.0,english,96.0,7.0,dancing and singing,investment banker,it secrtor,3.9,28.0,yes,15 lakhs above,Other,0.0,3,1,1,4,1,3
83,20 - 22,f,sister nivedita university,ma,english,75.0,english,81.0,75.0,english,87.0,6.0,dance ,chartered accountant,n.q.,6.0,28.0,no,3 -  7  lakhs,Finance,1.0,5,5,5,4,4,5
84,20 - 22,f,sister nivedita university,ma,english,75.0,english,82.0,85.0,english,88.0,6.0,no,professor,it secrtor,13.0,25.0,no,below 3 lakhs,Business,2.0,5,1,2,3,2,4
85,18 - 20,m,techno international,b tech.,english,85.0,math,98.0,75.0,biology,74.0,7.0,yes .... guiterist ,software development engineer,it secrtor,5.0,21.0,maybe,10 - 12 lakhs,Business,8.0,4,1,2,5,3,4
86,18 - 20,f,sister nivedita university,ba,english,75.0,english,68.0,65.0,english,65.0,5.0,no,professor,corporate/private sector,2.0,23.0,maybe,3 -  7  lakhs,Business,7.5,5,1,4,4,5,4
87,20 - 22,f,sister nivedita university,ba,english,55.0,english,56.0,75.0,english,82.0,6.0,dancing ,chartered accountant,corporate/private sector,5.0,25.5,maybe,7 - 10 lakhs,Government Job,2.5,1,5,1,3,5,5
88,20 - 22,f,jadavpur university,ba,english,95.0,biology,96.0,85.0,biology,93.0,7.0,"recitation, chess and drama",professor,it secrtor,18.0,25.0,no,12 - 15 lakhs,Government Job,10.0,2,3,3,3,3,4
89,18 - 20,f,jadavpur university,ba,english,95.0,biology,100.0,95.0,mathematics,95.0,7.0,painting ,entrepreneurship,corporate/private sector,9.0,32.0,maybe,3 -  7  lakhs,Business,3.5,3,3,3,3,3,4
90,22 - 25,f,maharaja manindra chandra college,ba,english,95.0,english,96.0,95.0,english,94.0,7.0,kabaddi ,data analytics,corporate/private sector,10.0,28.0,no,15 lakhs above,Retired,4.0,5,5,5,1,1,5
91,18 - 20,o,jadavpur university,ba,english,95.0,biology,100.0,95.0,psychology,98.0,6.0,music/writing ,undecided,government/public sector,4.0,27.0,maybe,3 -  7  lakhs,Government Job,1.0,3,2,4,3,4,5
92,18 - 20,f,jadavpur university,ba,english,85.0,english,90.0,95.0,english,100.0,7.0,i'm fond of writing poems,chartered accountant,corporate/private sector,1.8,26.0,maybe,below 3 lakhs,Government Job,5.0,3,2,2,1,1,5
93,18 - 20,f,st xaviers university,ba,english,95.0,english,85.0,85.0,english,85.0,0.0,football,sports,government/public sector,9.0,26.5,yes,15 lakhs above,Government Job,,1,4,2,5,4,2
94,18 - 20,f,parul university,bdes,fashion designing,75.0,science,75.0,85.0,commercialart,100.0,0.0,"sports,editing,photography",fashion designing,corporate/private sector,1.5,26.0,maybe,10 - 12 lakhs,Teaching,12.0,4,3,4,3,2,4
95,20 - 22,f,institute of engineering and management,bba,finance,85.0,mathematics,99.0,75.0,economics,80.0,9.0,content writing ,financial services,government/public sector,3.5,28.0,maybe,10 - 12 lakhs,Government Job,10.0,4,1,3,4,2,2
96,20 - 22,m,the bhawanipur educational society college,b com.,finance,85.0,economics,89.0,85.0,economics,92.0,6.0,playing cricket ,cost  management accountant,corporate/private sector,9.0,25.0,yes,3 -  7  lakhs,Business,3.0,4,3,2,2,1,5
97,20 - 22,m,university of engineering and management,bba,finance,85.0,commerce,85.0,75.0,commerce,82.0,9.0,,financial position,it secrtor,3.9,30.0,maybe,below 3 lakhs,Business,,4,4,4,2,3,4
98,20 - 22,m,heritage college,b com.,finance,95.0,economics ,,85.0,,,7.0,,chattered accountant,undecided,,25.0,maybe,10 - 12 lakhs,Business,,3,1,2,1,1,4
99,20 - 22,m,university of calcutta,b com.,finance,85.0,mathematics,,85.0,,,7.0,social justice club and event organizing ,accountingaudit and taxation,corporate/private sector,8.0,0.0,no,10 - 12 lakhs,Government Job,13.5,3,3,4,4,2,3
100,18 - 20,m,seth anandaram jaipuria,b com.,accountancy,75.0,sst,79.0,95.0,bst,100.0,8.0,football ,entrepreneurship,corporate/private sector,4.0,32.0,yes,below 3 lakhs,Unknown,1.0,1,1,1,1,1,3
101,20 - 22,m,vivekananda college thakurpukur,b.sc / bs,geography,75.0,geography,80.0,95.0,geography,99.0,7.0,,gis analyst,government/public sector,2.5,28.0,no,below 3 lakhs,Retired,7.5,1,1,2,1,1,5
103,20 - 22,f,jadavpur university,b.sc / bs,geography,95.0,geography,99.0,95.0,chemistry,99.0,7.0,dancing ,administration,adminstative sector,6.0,30.0,no,7 - 10 lakhs,Teaching,2.5,1,2,3,4,2,5
